Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,CELLHEX,NODEHEX,LACHEX,RAWCELLID,NRxRSRP,NRxRSRQ,OT,Throughput
2020.02.13_13.59.13,-8.394564,51.886198,0,B,11,5G,-100,-11,3,14,-103,18020,70,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-11,18090,18090
2020.02.13_13.59.14,-8.394564,51.886198,0,B,11,5G,-100,-11,3,14,-103,18533,72,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-11,18605,18605
2020.02.13_13.59.15,-8.394564,51.886198,0,B,11,5G,-100,-11,-2,11,-103,19002,70,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103,-12,19072,19072
2020.02.13_13.59.16,-8.394564,51.886198,0,B,11,5G,-100,-11,-2,11,-103,18730,61,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103,-12,18791,18791
2020.02.13_13.59.17,-8.394564,51.886198,0,B,11,5G,-102,-16,0,14,-103,18770,71,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-13,18841,18841
2020.02.13_13.59.19,-8.394564,51.886198,0,B,11,5G,-102,-16,0,14,-103,19522,71,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-13,19593,19593
2020.02.13_13.59.20,-8.394564,51.886198,0,B,11,5G,-100,-10,4,9,-103,19625,67,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103,-11,19692,19692
2020.02.13_13.59.21,-8.394564,51.886198,0,B,11,5G,-100,-10,4,9,-105,18513,69,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103,-11,18582,18582
2020.02.13_13.59.23,-8.394564,51.886198,0,B,11,5G,-99,-9,7,11,-105,6229,19,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-11,6248,6248
2020.02.13_13.59.24,-8.394564,51.886198,0,B,11,5G,-99,-9,7,11,-105,6229,19,D,73,71,75,2,0,B,A4DF,9CBA,10805003,-105,-11,6248,6248
2020.02.13_13.59.25,-8.394564,51.886198,0,B,11,5G,-100,-12,-1,13,-105,3,3,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-12,6,6
2020.02.13_13.59.26,-8.394564,51.886198,0,B,11,5G,-100,-12,-1,13,-103,12580,221,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-12,12801,12801
2020.02.13_13.59.27,-8.394564,51.886198,0,B,11,5G,-99,-12,0,14,-103,15819,87,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103,-12,15906,15906
2020.02.13_13.59.28,-8.394564,51.886198,0,B,11,5G,-99,-12,0,14,-103,18512,67,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103,-12,18579,18579
